"","UMAP1","UMAP2","Group"
"GSM2731543",0.896517159484005,-4.7980940209528,"PNI_Pos_Tumor"
"GSM2731544",1.23423881867762,7.26871503574768,"PNI_Pos_Normal"
"GSM2731545",1.33850772762168,-4.82141428672369,"PNI_Pos_Tumor"
"GSM2731546",-1.01965006549053,-2.185145805479,"PNI_Pos_Normal"
"GSM2731547",1.65653877495037,-4.2737872776273,"PNI_Pos_Tumor"
"GSM2731548",-1.23140515344345,-2.5679235844209,"PNI_Pos_Normal"
"GSM2731549",0.686153056316531,-5.08285437615739,"PNI_Neg_Tumor"
"GSM2731550",1.13936100694657,7.67566205919687,"PNI_Neg_Normal"
"GSM2731551",-1.4034075294558,-0.947621795952035,"PNI_Pos_Tumor"
"GSM2731552",0.970637447149038,6.92109954700646,"PNI_Pos_Normal"
"GSM2731553",0.480876032648089,-5.10414936391138,"PNI_Neg_Tumor"
"GSM2731554",-1.86411185823774,-2.92319956993459,"PNI_Neg_Normal"
"GSM2731555",0.968244816575572,-4.74193096878162,"PNI_Pos_Tumor"
"GSM2731556",1.01143270428565,6.80296252086503,"PNI_Pos_Normal"
"GSM2731557",1.04961411686063,-3.46621317266043,"PNI_Pos_Tumor"
"GSM2731558",-1.62395113066713,-0.582283298178936,"PNI_Pos_Normal"
"GSM2731559",1.20771366873631,-3.13088784329702,"PNI_Neg_Tumor"
"GSM2731560",1.35972267367806,7.23595205959192,"PNI_Neg_Normal"
"GSM2731561",1.55739255653577,-4.80747462182834,"PNI_Neg_Tumor"
"GSM2731562",-0.82335845186421,-2.465035918249,"PNI_Neg_Normal"
"GSM2731563",1.52744331770906,-4.19527208253528,"PNI_Pos_Tumor"
"GSM2731564",-1.8361453932061,-2.54720880814669,"PNI_Pos_Normal"
"GSM2731565",-1.41164245062928,-2.2982039483018,"PNI_Neg_Tumor"
"GSM2731566",-1.75811029400778,-3.20639584599237,"PNI_Neg_Normal"
"GSM2731567",-2.00885636585659,-3.22474965154277,"PNI_Pos_Tumor"
"GSM2731568",-2.17363796723664,-3.3660837896984,"PNI_Pos_Normal"
"GSM2731569",-1.44258091553181,-1.19237234769912,"PNI_Neg_Tumor"
"GSM2731570",-1.67507865766308,-0.595383979658269,"PNI_Neg_Normal"
"GSM2731571",0.0943718082096803,-4.88678719851048,"PNI_Neg_Tumor"
"GSM2731572",1.10330803011129,7.82415687577984,"PNI_Neg_Normal"
"GSM2731573",1.20078142918041,-4.41996731823497,"PNI_Pos_Tumor"
