"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","50/4011","70/9370",0.714285714285714,1.66862556540941,4.85759827694682,0.0000010965932280123,0.0000318534795212072,0.0000196226578390212,"8672/60/3119/5551/3120/8082/4842/3683/5879/5880/3115/3112/3117/3118/3113/3689/4624/3105/3108/6445/3127/2534/958/25/940/836/6641/284217/841/1756/637/1604/4625/3135/941/6640/3123/1837/3126/3109/3111/6444/3133/3122/6645/3107/3106/6443/3134/27",50
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","119/4011","200/9370",0.595,1.38996509598604,4.82266548513729,0.00000117640691413549,0.0000318534795212072,0.0000196226578390212,"10109/3688/5970/3606/2353/10382/8743/57180/840/10092/3071/7278/6093/137075/60/147179/7846/55930/4542/578/7277/27128/9871/8517/4640/5777/4641/5601/8936/7430/10095/834/57121/4629/581/2149/5879/84617/4690/29108/4790/257397/6714/7456/2846/5063/26285/4430/4615/10097/203068/4642/10802/9069/55845/9826/6885/24146/2534/9181/8717/25/10458/355/387/3569/3654/10381/9267/2212/7100/8772/836/3551/841/10672/10094/84790/3554/9138/10093/8795/81027/4644/81873/4627/382/7099/10552/10163/10972/2768/3576/5062/4628/51208/9075/6300/5010/9475/55971/653857/9265/1364/1365/5058/53842/4643/2017/3725/4671/9071/5861/347688/8976/5600/7186/4646/10006",119
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","75/4011","116/9370",0.646551724137931,1.51039383075852,4.78520706545741,0.00000152178916422518,0.0000382621275576618,0.0000235705690098036,"81/7852/3688/87/5336/7408/3684/6494/6093/137075/60/4688/4633/7430/6387/3683/10398/5879/5880/1500/4636/5908/1499/3689/3702/26285/7409/4318/9069/10627/90952/24146/399/29895/387/4478/1496/83593/5829/5295/50848/1536/7414/5293/7410/83700/5578/103910/653361/3676/5175/4313/51208/394/9075/6300/5010/9475/4301/7070/1364/1365/53842/29119/5906/2185/4689/9564/9071/1535/1495/5600/2773/2771/1003",75
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","120/4011","203/9370",0.591133004926108,1.38093150240779,4.74692494273338,0.00000169554629508027,0.0000397888197245502,0.0000245110552130901,"81/3688/87/2013/7408/6093/60/2277/4638/3694/1950/7148/10000/3918/4633/106821730/3693/7424/5601/2002/6464/7059/3915/4660/4659/1284/22801/3655/10398/2317/5879/5880/824/64098/3680/7791/4636/5908/1101/1499/5156/6714/1292/5499/23396/5923/5063/2324/4233/896/3678/7409/1299/3480/1287/10627/1298/2534/3685/3675/56034/29895/53358/1282/387/6696/3695/7448/3909/3912/5728/330/284217/80310/56924/5829/7094/1311/1278/894/5295/10298/3690/2335/2885/7414/5293/7410/5578/1399/3673/25759/399694/1291/103910/1293/5062/3676/7058/394/1729/8395/9475/8515/5228/3082/5058/1277/3910/3725/3913/3914/5906/1956/3672/2316/9564/5154/3691/29780",120
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","54/4011","78/9370",0.692307692307692,1.61728324031989,4.73596253840901,0.00000200414665499126,0.0000440912264098076,0.0000271614612452762,"718/3688/5970/2353/3684/3119/4688/3458/5777/2002/3120/2214/7040/1378/1379/3115/3460/4790/3112/3117/3118/3113/65108/3689/4615/3108/3127/6885/2209/3552/3654/3459/2212/7043/7097/5743/6772/3123/1536/3126/7042/7099/3109/3111/3122/653361/3676/6300/9103/3725/4689/1535/5600/3717",54
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","88/4011","142/9370",0.619718309859155,1.44770894125661,4.6506881498651,0.00000283128737261425,0.0000586243032447187,0.0000361142537930982,"3932/5970/2353/5336/2274/1436/799/695/4688/7297/3458/8517/10000/5601/10326/3710/2214/4791/5608/489/10288/140885/3455/5879/7040/814/5468/55423/3460/4790/3937/27035/2213/1513/11025/79168/169200/8792/8651/4286/2354/6885/2534/126014/2209/10379/4982/3552/11026/3459/2212/23547/4773/3708/6850/54209/3551/488/5535/3554/6772/5295/3690/353514/7006/7042/2885/5530/11006/5293/5532/653361/6773/10859/3709/6300/9103/3725/3727/7046/1435/29760/4689/1535/7305/5600/7186/6688",88
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","114/4011","193/9370",0.590673575129534,1.37985823958208,4.6129729908973,0.00000323032944110191,0.0000612038649284325,0.0000377033378446683,"7852/5970/5336/2790/5473/10563/6093/111/5580/4067/6352/2788/6372/409/8517/10000/6364/2829/4283/6464/6387/10681/6360/1237/729230/2868/5879/10344/6369/5880/2782/1232/6361/5908/2793/4790/3845/6714/2920/3718/1236/3702/5567/58191/7409/1524/1234/6346/56477/5590/6362/23236/53358/4893/23533/6356/109/387/2919/1233/6354/7454/3551/1230/2921/5829/2931/643/1794/6772/6374/5295/3627/6367/56288/3055/146850/408/5566/2885/113/5293/5196/7410/1399/2309/59345/25759/54331/399694/3576/10235/653361/6773/2826/131890/9475/5330/5058/5294/196883/5906/2776/2185/9564/7074/156/2833/55970/2773/2784/2771/9547/3717",114
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","34/4011","44/9370",0.772727272727273,1.80514947530654,4.63112196686171,0.00000330361770920516,0.0000612038649284325,0.0000377033378446683,"3002/3119/5551/3458/4049/3120/3630/3382/3115/3112/3117/3118/3113/2571/3105/3108/3127/355/3552/5798/940/3135/941/3123/3126/3329/3109/3111/3133/5799/3122/3107/3106/3134",34
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","167/4011","300/9370",0.556666666666667,1.30041552397573,4.57520361680013,0.00000359942885859257,0.0000633499479112292,0.0000390253865721089,"5598/5970/7786/2353/8913/3815/1843/1436/5321/51295/468/627/4217/2277/1848/2872/778/1969/1847/4149/1950/409/8517/10000/7424/1946/2668/5601/3556/2002/5921/3630/8569/9261/5778/4791/784/5608/5495/994/2246/5879/4609/7040/5880/51347/1647/374/5908/5156/4790/2260/3845/7867/51776/1945/5923/93589/2324/8986/4233/4615/776/5567/775/7039/2255/6237/5623/2069/27091/3480/59283/9965/8822/5801/6885/23542/8717/56034/285/4893/355/51378/3552/3654/2323/781/7043/9448/836/2264/125467750/1944/10912/80310/3551/4254/5535/3554/4137/4616/84451/4294/8491/5606/2122/4915/1844/408/5566/7042/55799/2885/5530/1852/1849/27092/22808/782/5578/4763/1399/6789/2768/5532/774/2066/9064/6197/10235/5062/785/777/255189/6300/8649/6788/5228/3082/929/783/5922/5058/4296/7157/3925/3164/3725/3727/51701/7046/3643/5906/2254/1956/1435/1850/25780/2316/5154/4293/55970/26281/5600/10746/7186",167
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","68/4011","105/9370",0.647619047619048,1.51288717930453,4.57219614080629,0.00000426664652467223,0.0000715171226992678,0.0000440566007058887,"3688/183/4607/60/111/6262/7171/778/3694/4633/3693/7134/8082/784/4842/22801/489/3655/7169/7040/3680/4000/93589/3678/776/5567/4624/775/27091/59283/6445/3685/3675/109/7273/3695/781/7043/6641/284217/6546/488/1756/4625/3690/6640/1837/5566/7042/55799/113/27092/782/3673/6444/785/3676/8515/6645/783/7139/153/6543/7168/196883/3672/6443/3691",68
