"","GSM2731543","GSM2731544","GSM2731545","GSM2731546","GSM2731547","GSM2731548","GSM2731549","GSM2731550","GSM2731551","GSM2731552","GSM2731553","GSM2731554","GSM2731555","GSM2731556","GSM2731557","GSM2731558","GSM2731559","GSM2731560","GSM2731561","GSM2731562","GSM2731563","GSM2731564","GSM2731565","GSM2731566","GSM2731567","GSM2731568","GSM2731569","GSM2731570","GSM2731571","GSM2731572","GSM2731573","GSM2731574","GSM2731575","GSM2731576","GSM2731577","GSM2731578","GSM2731579","GSM2731580","GSM2731581","GSM2731582","GSM2731583","GSM2731584","GSM2731585","GSM2731586","GSM2731587","GSM2731588","GSM2731589","GSM2731590","GSM2731591","GSM2731592","GSM2731593","GSM2731594","GSM2731595","GSM2731596","GSM2731597","GSM2731598","GSM2731599","GSM2731600","GSM2731601","GSM2731602","GSM2731603","GSM2731604","GSM2731605","GSM2731606","GSM2731607","GSM2731608","GSM2731609","GSM2731610","GSM2731611","GSM2731612","GSM2731613","GSM2731614","GSM2731615","GSM2731616","GSM2731617","GSM2731618","GSM2731619","GSM2731620","GSM2731621","GSM2731622","GSM2731623","GSM2731624","GSM2731625","GSM2731626","GSM2731627","GSM2731628","GSM2731629","GSM2731630","GSM2731631","GSM2731632","GSM2731633","GSM2731634","GSM2731635","GSM2731636","GSM2731637","GSM2731638","GSM2731639","GSM2731640","GSM2731641","GSM2731642"
"SNORA70",15.322,16.197,15.787,15.818,15.347,15.701,15.402,15.948,16.18,15.919,15.296,15.553,15.47,16.227,15.02,16.167,15.374,16.351,15.371,15.445,15.269,15.024,15.296,15.193,15.599,15.363,16.009,16.079,15.53,16.204,15.343,15.991,15.675,15.296,15.83,15.308,14.733,15.351,15.319,15.334,14.64,15.599,15.087,14.621,14.784,15.102,14.277,15.526,15.211,15.461,15.193,15.858,14.685,15.322,14.637,15.581,15.265,15.818,14.854,14.972,15.363,15.367,14.376,15.3,14.875,15.483,14.511,15.363,15.424,15.182,14.615,15.908,14.39,14.774,14.673,15.08,15.08,15.853,15.424,15.124,15.402,15.751,15.017,14.136,15.347,16.085,15.553,15.05,15.359,15.985,15.458,15.334,15.047,15.521,14.539,15.043,14.688,14.624,14.69,14.989
"SNHG31",15.322,16.197,15.787,15.818,15.347,15.701,15.402,15.948,16.18,15.919,15.296,15.553,15.47,16.227,15.02,16.167,15.374,16.351,15.371,15.445,15.269,15.024,15.296,15.193,15.599,15.363,16.009,16.079,15.53,16.204,15.343,15.991,15.675,15.296,15.83,15.308,14.733,15.351,15.319,15.334,14.64,15.599,15.087,14.621,14.784,15.102,14.277,15.526,15.211,15.461,15.193,15.858,14.685,15.322,14.637,15.581,15.265,15.818,14.854,14.972,15.363,15.367,14.376,15.3,14.875,15.483,14.511,15.363,15.424,15.182,14.615,15.908,14.39,14.774,14.673,15.08,15.08,15.853,15.424,15.124,15.402,15.751,15.017,14.136,15.347,16.085,15.553,15.05,15.359,15.985,15.458,15.334,15.047,15.521,14.539,15.043,14.688,14.624,14.69,14.989
"RPL10",15.322,16.197,15.787,15.818,15.347,15.701,15.402,15.948,16.18,15.919,15.296,15.553,15.47,16.227,15.02,16.167,15.374,16.351,15.371,15.445,15.269,15.024,15.296,15.193,15.599,15.363,16.009,16.079,15.53,16.204,15.343,15.991,15.675,15.296,15.83,15.308,14.733,15.351,15.319,15.334,14.64,15.599,15.087,14.621,14.784,15.102,14.277,15.526,15.211,15.461,15.193,15.858,14.685,15.322,14.637,15.581,15.265,15.818,14.854,14.972,15.363,15.367,14.376,15.3,14.875,15.483,14.511,15.363,15.424,15.182,14.615,15.908,14.39,14.774,14.673,15.08,15.08,15.853,15.424,15.124,15.402,15.751,15.017,14.136,15.347,16.085,15.553,15.05,15.359,15.985,15.458,15.334,15.047,15.521,14.539,15.043,14.688,14.624,14.69,14.989
"SNORA70I",15.322,16.197,15.787,15.818,15.347,15.701,15.402,15.948,16.18,15.919,15.296,15.553,15.47,16.227,15.02,16.167,15.374,16.351,15.371,15.445,15.269,15.024,15.296,15.193,15.599,15.363,16.009,16.079,15.53,16.204,15.343,15.991,15.675,15.296,15.83,15.308,14.733,15.351,15.319,15.334,14.64,15.599,15.087,14.621,14.784,15.102,14.277,15.526,15.211,15.461,15.193,15.858,14.685,15.322,14.637,15.581,15.265,15.818,14.854,14.972,15.363,15.367,14.376,15.3,14.875,15.483,14.511,15.363,15.424,15.182,14.615,15.908,14.39,14.774,14.673,15.08,15.08,15.853,15.424,15.124,15.402,15.751,15.017,14.136,15.347,16.085,15.553,15.05,15.359,15.985,15.458,15.334,15.047,15.521,14.539,15.043,14.688,14.624,14.69,14.989
"BTG1",11.545,12.827,12.738,12.757,12.596,12.626,12.159,13.084,12.64,12.92,12.763,13.097,12.099,13,12.62,13.18,12.405,13.256,12.555,13.255,11.978,12.793,13.12,12.833,12.738,13.193,12.719,12.886,12.626,13.429,12.716,13.422,12.939,13.003,12.874,12.931,12.177,13.188,12.995,13.179,12.28,13.362,12.471,12.707,12.539,13.092,11.714,13.114,12.745,12.794,12.769,13.529,12.202,13.653,12.626,13.212,12.555,12.964,12.538,12.933,13.264,13.224,12.656,13.103,12.553,13.485,11.404,13.454,13.293,12.428,13.394,13.514,12.24,13.141,13.338,12.967,12.129,13.111,12.155,12.756,12.237,13.457,11.789,12.177,12.151,13.05,12.411,12.798,11.651,12.809,12.586,12.914,12.586,13.588,12.445,13.105,12.35,12.721,12.461,12.934
"RPS17P16",13.58,14.437,12.954,13.616,13.33,13.135,13.497,14.261,13.958,14.158,13.246,13.177,13.382,14.162,13.107,14.292,13.759,14.574,13.594,13.675,13.268,13.588,13.74,13.768,13.534,13.369,13.834,14.43,13.494,14.657,13.445,14.34,13.861,14.051,14.156,14.02,13.523,14.482,14.231,14.765,13.3,14.756,12.989,13.38,13.311,14.217,13.473,14.371,13.969,14.79,13.237,14.274,12.953,14.279,13.644,14.637,13.659,14.571,13.641,14.166,14.177,14.043,13.469,14.467,13.023,13.782,13.371,14.395,13.747,12.763,14.067,13.759,13.141,14.018,13.708,13.898,13.229,14.371,13.476,13.605,13.096,14.533,13.496,13.708,13.502,14.31,13.307,13.656,13.507,14.433,13.734,13.602,14.144,14.965,13.659,14.228,13.367,13.824,13.551,13.613
"RPL11",13.694,14.714,13.468,13.815,13.747,13.537,13.932,14.479,14.29,14.588,13.549,13.527,13.709,14.482,13.254,14.565,14.148,14.762,14.092,13.726,14.027,14.126,14.162,14.034,14.036,13.886,14.25,14.718,13.591,14.668,13.439,14.472,13.886,14.323,14.583,14.409,13.822,14.682,14.464,14.73,13.468,14.878,13.676,13.601,13.342,14.257,12.769,14.21,14.225,14.646,13.675,14.784,13.509,14.596,13.804,14.792,14.39,14.938,14.237,14.469,14.665,14.606,14.168,14.333,13.179,14.088,13.624,14.609,14.409,13.418,14.223,15.117,13.465,14.571,14.383,14.34,13.295,14.631,14.198,13.754,13.576,14.762,13.788,13.75,13.86,14.704,13.721,13.851,13.625,14.503,14.094,13.82,14.242,14.924,13.829,14.487,14.096,13.947,13.82,13.782
"RGPD5",12.708,12.787,12.223,12.999,12.559,13.165,12.398,12.732,12.632,13.068,12.233,13.015,12.622,13.264,12.297,12.73,12.246,12.901,12.629,12.769,12.634,13.601,13.175,13.146,13.265,13.461,12.422,13.22,12.309,12.856,12.398,12.737,12.598,12.72,12.758,12.404,12.977,13.403,13.378,13.298,13.002,13.109,13.156,12.611,12.932,13.071,12.085,13.103,13.589,13.176,13.424,13.607,13.104,13.074,13.141,13.13,13.007,13.253,12.93,13.088,13.171,13.195,13.267,13.37,13.255,13.057,13.533,13.198,13.604,13.567,12.708,13.094,13.012,13.371,13.729,13.17,12.329,12.939,12.401,13.671,12.074,12.936,12.833,13.293,12.59,12.731,12.974,13.969,12.069,12.876,12.529,12.803,12.858,13.366,13.003,13.499,12.472,13.455,12.998,13.744
"RGPD1",12.708,12.787,12.223,12.999,12.559,13.165,12.398,12.732,12.632,13.068,12.233,13.015,12.622,13.264,12.297,12.73,12.246,12.901,12.629,12.769,12.634,13.601,13.175,13.146,13.265,13.461,12.422,13.22,12.309,12.856,12.398,12.737,12.598,12.72,12.758,12.404,12.977,13.403,13.378,13.298,13.002,13.109,13.156,12.611,12.932,13.071,12.085,13.103,13.589,13.176,13.424,13.607,13.104,13.074,13.141,13.13,13.007,13.253,12.93,13.088,13.171,13.195,13.267,13.37,13.255,13.057,13.533,13.198,13.604,13.567,12.708,13.094,13.012,13.371,13.729,13.17,12.329,12.939,12.401,13.671,12.074,12.936,12.833,13.293,12.59,12.731,12.974,13.969,12.069,12.876,12.529,12.803,12.858,13.366,13.003,13.499,12.472,13.455,12.998,13.744
"RGPD6",12.708,12.787,12.223,12.999,12.559,13.165,12.398,12.732,12.632,13.068,12.233,13.015,12.622,13.264,12.297,12.73,12.246,12.901,12.629,12.769,12.634,13.601,13.175,13.146,13.265,13.461,12.422,13.22,12.309,12.856,12.398,12.737,12.598,12.72,12.758,12.404,12.977,13.403,13.378,13.298,13.002,13.109,13.156,12.611,12.932,13.071,12.085,13.103,13.589,13.176,13.424,13.607,13.104,13.074,13.141,13.13,13.007,13.253,12.93,13.088,13.171,13.195,13.267,13.37,13.255,13.057,13.533,13.198,13.604,13.567,12.708,13.094,13.012,13.371,13.729,13.17,12.329,12.939,12.401,13.671,12.074,12.936,12.833,13.293,12.59,12.731,12.974,13.969,12.069,12.876,12.529,12.803,12.858,13.366,13.003,13.499,12.472,13.455,12.998,13.744
"RGPD8",12.708,12.787,12.223,12.999,12.559,13.165,12.398,12.732,12.632,13.068,12.233,13.015,12.622,13.264,12.297,12.73,12.246,12.901,12.629,12.769,12.634,13.601,13.175,13.146,13.265,13.461,12.422,13.22,12.309,12.856,12.398,12.737,12.598,12.72,12.758,12.404,12.977,13.403,13.378,13.298,13.002,13.109,13.156,12.611,12.932,13.071,12.085,13.103,13.589,13.176,13.424,13.607,13.104,13.074,13.141,13.13,13.007,13.253,12.93,13.088,13.171,13.195,13.267,13.37,13.255,13.057,13.533,13.198,13.604,13.567,12.708,13.094,13.012,13.371,13.729,13.17,12.329,12.939,12.401,13.671,12.074,12.936,12.833,13.293,12.59,12.731,12.974,13.969,12.069,12.876,12.529,12.803,12.858,13.366,13.003,13.499,12.472,13.455,12.998,13.744
"RGPD2",12.708,12.787,12.223,12.999,12.559,13.165,12.398,12.732,12.632,13.068,12.233,13.015,12.622,13.264,12.297,12.73,12.246,12.901,12.629,12.769,12.634,13.601,13.175,13.146,13.265,13.461,12.422,13.22,12.309,12.856,12.398,12.737,12.598,12.72,12.758,12.404,12.977,13.403,13.378,13.298,13.002,13.109,13.156,12.611,12.932,13.071,12.085,13.103,13.589,13.176,13.424,13.607,13.104,13.074,13.141,13.13,13.007,13.253,12.93,13.088,13.171,13.195,13.267,13.37,13.255,13.057,13.533,13.198,13.604,13.567,12.708,13.094,13.012,13.371,13.729,13.17,12.329,12.939,12.401,13.671,12.074,12.936,12.833,13.293,12.59,12.731,12.974,13.969,12.069,12.876,12.529,12.803,12.858,13.366,13.003,13.499,12.472,13.455,12.998,13.744
"H2AC14",15.311,14.228,15.343,14.951,15.215,14.268,15.647,14.183,14.555,13.935,15.037,14.14,14.815,13.94,14.756,14.78,14.541,14.158,15.359,15.613,14.948,14.539,14.388,14.112,13.25,13.604,14.688,14.358,15.342,14.412,14.996,14.231,14.663,14.221,14.202,14.255,15.347,14.012,14.428,14.136,14.4,14.094,15.193,13.516,15.233,14.546,15.83,14.059,14.565,13.958,15.3,13.982,14.552,14.67,14.872,14.503,14.555,14.188,14.972,13.978,14.875,15.156,14.758,14.924,14.679,14.373,15.513,14.325,14.721,13.31,15.315,14.073,15.285,14.727,14.112,14.858,15.137,13.957,15.534,13.587,15.398,14.342,14.452,14.016,15.208,14.129,15.156,14.237,14.796,14.084,14.718,14.685,15.145,14.21,15.134,14.679,15.246,14.25,14.67,14
"RPL5P34",14.059,15.261,13.653,14.643,14.09,14.422,13.808,15.237,14.601,15.156,13.834,13.837,14.235,15.12,13.963,14.878,14.19,15.145,13.98,14.053,14.154,14.198,14.148,13.764,13.793,13.93,14.442,15.034,13.987,15.272,13.717,14.982,14.485,14.878,14.864,14.762,13.836,15.06,14.632,14.872,13.688,15.137,14.012,13.667,13.748,14.321,13.953,14.928,14.144,15.076,13.064,14.352,13.94,14.635,13.544,15.003,14.112,15.034,14.016,14.45,14.508,14.517,14.425,14.366,14.2,14.975,13.524,14.643,14.806,14.27,13.634,14.787,13.37,14.35,14.069,14.305,13.706,14.857,13.823,14.26,13.221,14.884,13.894,13.796,14.259,14.952,13.978,13.917,13.284,14.921,14.259,14.084,14.152,15.233,14.008,14.539,13.513,13.785,14.156,14.35
"RHOC",14.175,13.207,14.239,13.639,14.136,13.303,14.122,12.598,13.645,12.749,13.731,14.116,13.982,12.969,14.165,13.676,13.538,12.97,13.891,13.67,13.93,13.434,13.404,13.876,14.27,14.261,13.788,13.651,14.086,13.002,13.699,12.7,13.462,12.65,12.79,12.471,14.044,12.597,13.272,12.902,13.458,12.94,13.731,12.002,13.878,13.258,14.16,12.928,13.201,12.37,14.188,13.348,14.076,13.424,13.865,12.763,13.604,12.917,13.629,12.569,13.33,13.768,13.488,13.198,13.514,13.274,14.059,13.242,13.703,13.613,13.301,12.634,14.333,13.509,13.808,13.72,14.02,12.657,13.979,13.222,14.188,12.814,13.685,12.931,13.781,12.867,13.757,13.499,13.545,12.726,13.473,13.401,13.762,12.812,13.526,13.192,13.881,13.235,13.51,13.231
"SNORA27",13.757,15.152,13.271,14.165,14.226,13.489,13.879,14.771,14.649,14.914,13.65,13.705,14.133,14.676,13.382,14.776,14.239,15.131,14.415,13.842,14.02,14.385,14.328,14.008,13.922,13.932,14.392,14.765,13.934,15.014,13.665,14.839,14.467,14.721,14.938,14.514,14.036,14.938,14.714,14.904,13.762,15.222,13.699,14.297,13.812,14.621,13.876,14.972,14.447,14.948,13.484,15.01,13.628,14.808,14.006,15.043,14.279,15.182,14.342,14.485,14.704,14.891,14.165,14.508,13.341,13.994,13.74,14.649,14.335,14.136,14.549,15.01,13.294,14.632,14.034,14.508,13.955,14.721,14.057,14.084,13.586,14.941,14.186,13.969,14.206,14.969,14.133,14.11,13.506,14.861,14.242,13.872,14.557,15.326,14.136,14.477,13.829,14.006,14.086,13.819
"RPL21P16",13.757,15.152,13.271,14.165,14.226,13.489,13.879,14.771,14.649,14.914,13.65,13.705,14.133,14.676,13.382,14.776,14.239,15.131,14.415,13.842,14.02,14.385,14.328,14.008,13.922,13.932,14.392,14.765,13.934,15.014,13.665,14.839,14.467,14.721,14.938,14.514,14.036,14.938,14.714,14.904,13.762,15.222,13.699,14.297,13.812,14.621,13.876,14.972,14.447,14.948,13.484,15.01,13.628,14.808,14.006,15.043,14.279,15.182,14.342,14.485,14.704,14.891,14.165,14.508,13.341,13.994,13.74,14.649,14.335,14.136,14.549,15.01,13.294,14.632,14.034,14.508,13.955,14.721,14.057,14.084,13.586,14.941,14.186,13.969,14.206,14.969,14.133,14.11,13.506,14.861,14.242,13.872,14.557,15.326,14.136,14.477,13.829,14.006,14.086,13.819
