"","GSM2731543","GSM2731544","GSM2731545","GSM2731546","GSM2731547","GSM2731548","GSM2731549","GSM2731550","GSM2731551","GSM2731552","GSM2731553","GSM2731554","GSM2731555","GSM2731556","GSM2731557","GSM2731558","GSM2731559","GSM2731560","GSM2731561","GSM2731562","GSM2731563","GSM2731564","GSM2731565","GSM2731566","GSM2731567","GSM2731568","GSM2731569","GSM2731570","GSM2731571","GSM2731572","GSM2731573","GSM2731574","GSM2731575","GSM2731576","GSM2731577","GSM2731578","GSM2731579","GSM2731580","GSM2731581","GSM2731582","GSM2731583","GSM2731584","GSM2731585","GSM2731586","GSM2731587","GSM2731588","GSM2731589","GSM2731590","GSM2731591","GSM2731592","GSM2731593","GSM2731594","GSM2731595","GSM2731596","GSM2731597","GSM2731598","GSM2731599","GSM2731600","GSM2731601","GSM2731602","GSM2731603","GSM2731604","GSM2731605","GSM2731606","GSM2731607","GSM2731608","GSM2731609","GSM2731610","GSM2731611","GSM2731612","GSM2731613","GSM2731614","GSM2731615","GSM2731616","GSM2731617","GSM2731618","GSM2731619","GSM2731620","GSM2731621","GSM2731622","GSM2731623","GSM2731624","GSM2731625","GSM2731626","GSM2731627","GSM2731628","GSM2731629","GSM2731630","GSM2731631","GSM2731632","GSM2731633","GSM2731634","GSM2731635","GSM2731636","GSM2731637","GSM2731638","GSM2731639","GSM2731640","GSM2731641","GSM2731642"
"MAP3K21",14.733,15.109,14.459,14.673,14.66,15.124,14.682,15.908,14.654,15.553,14.985,14.221,15.057,15.407,14.606,15.141,15.276,15.05,14.787,14.525,15.07,15.047,14.864,15.095,15.237,14.894,14.634,15.073,14.615,15.458,14.724,14.952,14.711,15.979,15.385,15.963,15.562,15.953,15.634,15.979,15.432,15.445,14.604,14.928,14.839,15.131,14.733,15.014,15.997,15.374,14.335,14.412,15.458,15.424,15.334,15.585,15.474,15.675,15.402,16.115,15.208,14.771,15.145,15.557,15.39,15.233,15.623,15.513,15.628,16.079,13.637,15.178,15.322,15.567,15.647,15.461,15.006,15.526,15.233,15.552,14.91,15.374,15.054,15.647,14.621,14.869,14.219,14.996,15.517,15.182,15.16,15.319,15.205,15.812,15.23,15.576,15.657,15.642,15.661,15.628
"PICALM",14.609,13.731,14.774,14.29,14.452,14.295,14.821,13.418,14.073,13.534,14.569,14.557,14.347,13.406,14.108,14.107,13.947,13.687,14.487,14.078,14.615,14.768,14.881,14.975,15.28,15.193,14.347,14.454,14.412,13.595,14.654,13.384,13.989,13.476,13.756,13.294,14.996,13.58,14.321,13.766,14.528,13.793,14.373,13.24,14.555,14.116,14.082,13.359,14.474,13.273,14.261,13.927,14.454,14.335,14.317,13.932,14.49,13.831,14.281,13.863,14.088,14.598,14.223,14.012,14.008,13.912,13.972,14.179,14.397,14.474,14.235,13.397,14.768,14.392,14.704,14.579,14.596,13.529,14.387,14.667,15.141,13.916,14.482,14.204,13.974,13.705,14.693,14.845,14.221,13.424,14.325,14.44,14.09,13.86,14.35,14.092,14.415,14.557,14.208,14.288
"MIR4651",14.422,15.171,14.196,14.328,14.044,14.321,13.825,14.992,14.09,15.134,14.038,14.335,14.042,15.385,13.879,14.232,14.014,14.969,13.861,14.508,14.196,14.213,13.815,14.544,14.001,14.312,13.978,14.58,14.175,15.12,14.045,15.084,14.395,14.69,14.477,14.373,14.53,14.975,14.752,15.01,14.447,14.917,14.685,15.233,14.352,14.539,14.774,15.226,14.363,15.031,15.276,15.407,14.312,14.777,14.378,14.869,14.454,14.714,14.277,15.33,14.467,14.397,14.53,14.931,14.255,15.003,14.383,14.749,15.787,15.363,15.246,15.969,14.295,14.412,14.487,14.323,13.478,14.73,13.748,14.019,14.08,14.746,13.656,13.853,13.97,14.632,13.994,13.924,14.305,14.836,13.858,14.466,14.333,14.996,14.253,14.541,14.25,14.112,14.409,14.546
"POR",14.422,15.171,14.196,14.328,14.044,14.321,13.825,14.992,14.09,15.134,14.038,14.335,14.042,15.385,13.879,14.232,14.014,14.969,13.861,14.508,14.196,14.213,13.815,14.544,14.001,14.312,13.978,14.58,14.175,15.12,14.045,15.084,14.395,14.69,14.477,14.373,14.53,14.975,14.752,15.01,14.447,14.917,14.685,15.233,14.352,14.539,14.774,15.226,14.363,15.031,15.276,15.407,14.312,14.777,14.378,14.869,14.454,14.714,14.277,15.33,14.467,14.397,14.53,14.931,14.255,15.003,14.383,14.749,15.787,15.363,15.246,15.969,14.295,14.412,14.487,14.323,13.478,14.73,13.748,14.019,14.08,14.746,13.656,13.853,13.97,14.632,13.994,13.924,14.305,14.836,13.858,14.466,14.333,14.996,14.253,14.541,14.25,14.112,14.409,14.546
"RAB5C",14.891,14.042,15.006,14.64,14.811,14.179,14.792,13.306,14.617,13.554,15.222,15.063,14.417,13.775,14.811,14.511,14.142,14.021,14.756,14.578,14.474,14.682,14.347,14.762,14.795,14.643,14.999,14.53,15.054,13.856,14.83,13.414,14.371,13.216,13.533,12.938,14.958,13.589,14.472,13.785,14.557,14.152,14.965,12.979,15.057,14.31,15.5,13.61,14.762,13.739,15.098,14.301,14.583,14.59,14.688,14.43,14.702,14.144,14.544,13.822,14.615,15.037,14.323,14.621,14.467,14.14,14.818,14.181,14.462,13.747,14.555,13.728,15.308,14.593,14.472,14.79,14.851,13.593,14.424,14.294,14.985,13.747,14.221,13.873,14.472,13.867,14.679,14.492,14.746,13.715,14.321,14.242,14.83,13.987,14.574,14.452,15.047,14.668,14.45,14.244
"H2BP2",16.315,15.665,16.358,16.216,16.629,15.442,17.053,15.23,16.109,15.152,16.062,15.429,16.045,15.334,16.328,16.296,15.824,16.192,16.629,16.273,16.244,15.963,15.675,15.367,14.261,14.931,16.091,15.517,16.351,15.93,15.761,15.53,16.358,15.818,15.787,15.797,16.456,15.45,15.732,15.315,15.696,15.42,16.227,14.802,16.197,15.807,16.94,15.706,15.712,15.402,16.297,15.628,15.824,15.991,15.897,15.858,16.268,15.93,15.979,15.334,16.256,16.37,15.942,15.42,16.092,15.416,16.41,15.751,15.937,14.158,16.861,16.139,16.7,16.015,15.233,16.115,16.841,15.93,16.927,15.14,16.559,16.244,15.848,14.858,16.567,16.518,16.659,15.661,15.706,15.836,15.778,15.756,16.21,15.634,16.134,15.521,16.315,15.164,15.756,14.955
"H3-7",16.315,15.665,16.358,16.216,16.629,15.442,17.053,15.23,16.109,15.152,16.062,15.429,16.045,15.334,16.328,16.296,15.824,16.192,16.629,16.273,16.244,15.963,15.675,15.367,14.261,14.931,16.091,15.517,16.351,15.93,15.761,15.53,16.358,15.818,15.787,15.797,16.456,15.45,15.732,15.315,15.696,15.42,16.227,14.802,16.197,15.807,16.94,15.706,15.712,15.402,16.297,15.628,15.824,15.991,15.897,15.858,16.268,15.93,15.979,15.334,16.256,16.37,15.942,15.42,16.092,15.416,16.41,15.751,15.937,14.158,16.861,16.139,16.7,16.015,15.233,16.115,16.841,15.93,16.927,15.14,16.559,16.244,15.848,14.858,16.567,16.518,16.659,15.661,15.706,15.836,15.778,15.756,16.21,15.634,16.134,15.521,16.315,15.164,15.756,14.955
"POTEF",16.82,15.712,16.783,16.575,16.204,16.709,16.636,15.576,16.192,15.853,16.745,16.504,16.469,15.585,16.25,16.303,15.93,15.343,16.547,16.204,16.291,16.322,16.216,16.691,16.378,16.256,16.174,16.233,16.518,15.296,16.204,14.985,15.254,14.49,15.249,14.955,16.629,15.28,16.122,15.442,16.244,15.572,15.963,14.958,15.969,15.657,16.079,14.944,16.073,14.578,16.56,15.315,16.351,15.886,16.691,15.59,16.05,15.492,16.197,15.548,15.613,15.963,15.665,15.767,16.109,15.897,16.222,15.793,16.606,16.525,16.765,15.296,16.659,16.345,16.589,16.504,16.273,15.168,16.334,16.378,16.745,15.424,16.49,16.186,15.853,15.128,15.504,16.358,16.49,15.394,16.244,16.273,16.216,15.378,16.091,15.787,16.303,16.151,16.444,16.139
"LINC01515",14.297,14.029,13.627,14.437,14.233,14.654,13.953,14.239,13.624,14.696,13.726,14.003,14.217,14.477,14.569,13.951,14.601,13.717,14.115,14.53,14.506,14.787,14.479,14.621,13.949,14.972,13.996,14.001,13.881,14.04,14.279,14.487,14,14.615,14.33,14.668,14.497,15.054,14.514,14.996,14.917,14.854,14.842,15.864,14.679,15.23,14.142,14.938,14.836,15.45,14.714,14.762,15.054,14.781,14.996,14.528,14.688,14.621,14.679,14.79,14.931,15.084,15.131,14.73,15.12,15.201,15.137,14.924,15.131,15.017,14.736,14.621,14.588,15.164,14.519,14.588,14.244,14.688,14.422,15.237,14.253,14.606,14.752,15.604,14.192,14.38,13.907,15.261,14.649,14.221,14.449,14.621,14.787,14.69,15.137,15.084,14.739,15.416,14.875,15.067
"RPL10P6",15.322,16.197,15.787,15.818,15.347,15.701,15.402,15.948,16.18,15.919,15.296,15.553,15.47,16.227,15.02,16.167,15.374,16.351,15.371,15.445,15.269,15.024,15.296,15.193,15.599,15.363,16.009,16.079,15.53,16.204,15.343,15.991,15.675,15.296,15.83,15.308,14.733,15.351,15.319,15.334,14.64,15.599,15.087,14.621,14.784,15.102,14.277,15.526,15.211,15.461,15.193,15.858,14.685,15.322,14.637,15.581,15.265,15.818,14.854,14.972,15.363,15.367,14.376,15.3,14.875,15.483,14.511,15.363,15.424,15.182,14.615,15.908,14.39,14.774,14.673,15.08,15.08,15.853,15.424,15.124,15.402,15.751,15.017,14.136,15.347,16.085,15.553,15.05,15.359,15.985,15.458,15.334,15.047,15.521,14.539,15.043,14.688,14.624,14.69,14.989
