"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006665","sphingolipid metabolic process","94/8095","180/18860",0.522222222222222,1.21669068698099,2.53307939820723,0.00722989574474681,0.045275624138272,0.0335142411577913,"B4GALT3/PRKD1/PLPP2/B3GALT1/KIT/GZMB/CLN6/GAL3ST1/CASP7/PSAP/ST3GAL5/PRKCD/PRF1/CERS4/NAAA/ELOVL5/SMPDL3B/SMPD3/TLCD3B/FUT7/B3GNT5/GBA3/GBA1/PLPP3/CASP1/ACER3/NEU3/BAX/ELOVL1/ALDH3B2/KDSR/SPTSSA/SPTLC1/UGCG/ST6GALNAC6/ST3GAL1/SGMS2/ST6GALNAC5/ST8SIA1/ELOVL7/FUT3/P2RX1/ORMDL3/PAQR4/TEX2/B3GALNT1/GLA/FA2H/C20orf173/GLB1/PPT1/ELOVL6/SMPD2/HACD4/ORMDL2/ENPP2/ST6GALNAC4/SPTLC2/PRKD3/B4GALT6/B4GALT5/ORMDL1/ST3GAL2/ST8SIA2/SGPP2/B4GALT4/SPTSSB/PNPLA1/CERS6/CEL/SPHK1/FUT6/PLA2G15/ALDH3B1/CSNK1G2/P2RX7/ASAH1/CERS5/DEGS1/ST8SIA4/SGPL1/SPHK2/ABCA8/CERKL/HACD3/ST8SIA6/ABCA12/GALC/PSAPL1/ENPP7/GSDMD/GM2A/CERS3/ZNF750",94
"GO:0015718","monocarboxylic acid transport","94/8095","180/18860",0.522222222222222,1.21669068698099,2.53307939820723,0.00722989574474681,0.045275624138272,0.0335142411577913,"SLC5A6/CRABP2/PLA2G4A/SLC16A13/NMUR2/PLA2R1/SLC22A13/LYN/AKR1C4/SLC22A9/SLCO2B1/SLC16A3/SLC16A5/SLC6A8/ABCC3/PPARA/PPARD/ACSL4/SPX/PPARG/RBP1/PLA2G2D/PLA2G12A/SLC5A12/SLC16A11/ABCD4/TNFRSF11A/SLC51B/FABP6/SLC27A5/UCP2/CYP4F2/SLC2A1/SLCO4A1/KCNJ8/SLC6A13/SLC6A12/SLC25A20/ACACB/FABP4/PLA2G10/MIF/SYK/SLC22A7/ANXA1/EPRS1/ZDHHC5/TMEM135/SLC16A12/IRS2/RBP7/ABCC4/CYP4A11/UGT1A3/PLA2G1B/ACSL3/PTGS2/SLCO3A1/SLC16A14/CEACAM1/PTGES/SLC43A3/RPS6KB1/FABP3/EMB/SLC16A7/SLC26A7/SLC10A6/CRABP1/ACSL5/SLC10A3/APOE/SLC16A4/TSPO2/PLA2G4F/CLDN2/P2RX7/SLC17A5/MFSD2A/CASR/SLC16A1/ABCD3/CD36/ABCB4/OC90/CROT/SLCO1B3-SLCO1B7/SLCO1B3/SLC22A8/DRD4/AKR1C1/GOT2/ATP8B1/LYPLA1",94
"GO:0030890","positive regulation of B cell proliferation","29/8095","47/18860",0.617021276595745,1.43755667406989,2.60444357832804,0.00726157298277357,0.0454083064587793,0.0336124561989197,"FCRL3/SLC39A10/PTPRC/NCKAP1L/BTK/CLCF1/TNFSF13B/TNFSF13/CD38/PRLR/ADA/GPR183/BMI1/TICAM1/CD40/CD74/BST1/IL7/NFATC2/MIF/TNFRSF13C/IRS2/IL5/SASH3/TCF3/TLR4/CDKN1A/PELI1/EPHB2",29
"GO:0051282","regulation of sequestering of calcium ion","73/8095","136/18860",0.536764705882353,1.25057224866475,2.54310240209197,0.00727212058162951,0.0454083064587793,0.0336124561989197,"TMEM38A/LCK/PRKD1/ERO1A/PLCG2/CORO1A/ATG5/CD19/PTPRC/RYR2/HRC/CAMK2D/LYN/ATP1A2/PTPN6/HTR2B/XCR1/CXCL9/ITPR3/NPSR1/BAX/F2R/ASPH/CAPN3/TGFB1/LIME1/MCOLN1/APLNR/CEMIP/CALM2/CCR7/PLCE1/ANXA6/SELENON/CACNA1C/DRD1/CCR5/SRI/ABL1/PLCB1/P2RY6/PLCL2/ITPR1/MIR93/PKD2/SLC8A1/FKBP1A/DMD/TRPC1/CXCL10/CALM1/ITGB3/HTR2A/PRKACA/SLC25A23/FKBP1C/ITPR2/F2RL3/DIAPH1/TRDN/PLCB2/P2RX7/TPCN2/KCNK16/THY1/PTK2B/FLNA/CYBA/CXCR3/PDE4D/GSTM2/CLIC2/RYR3",73
"GO:0001934","positive regulation of protein phosphorylation","118/8095","231/18860",0.510822510822511,1.1901312605451,2.52130558502706,0.00727245190500606,0.0454083064587793,0.0336124561989197,"C3/BANK1/IL18/KIT/CSF1R/TNFSF18/XBP1/PTPRC/CLSPN/RARRES2/CHI3L1/RIPK3/GAS6/IFNG/ARL2BP/RALBP1/ACVR2A/PROM2/ITGB1BP1/EGF/TRAF4/MMD/PLAUR/RASSF2/PRLR/EFNA5/FGF1/RAC1/CSPG4/TAOK3/CENPE/MST1R/TLR6/FGFR1/CALCA/LCP2/SRC/TPD52L1/GPRC5B/CEMIP/NEK10/STOX1/NEDD9/PIM1/JTB/FLT4/ADIPOQ/NPTN/ALS2/FGF10/MMP9/EREG/FGF19/LAT/DDR2/MAP3K7/CLIP3/ARHGEF2/BMP4/ODAM/TNK2/PELI2/HES1/PIK3R5/ANGPT4/TPX2/PARP9/RHOA/CD74/IL6/S100A12/CASS4/ARHGEF5/ENPP2/TNFSF15/HMGA2/LIF/STRADA/PARP14/CCDC88A/TNFRSF10B/NIBAN1/SEMA4D/MAP3K10/MAP2K3/CD80/HLA-DRB1/FAM20A/PIK3R6/LILRA5/DIPK2A/TRIM6/ARRB1/TNFRSF18/SASH1/CDKN1A/STK4/ERBB4/WDFY2/PIN1/SPHK1/COPS8/KIF14/EZH2/DDRGK1/MAP3K11/PIK3CG/WNT5A/RAP1A/FBN1/PTK2B/EGFR/UNC119/IRGM/PDGFA/TRAF2/ABI1/JAK2",118
"GO:0051283","negative regulation of sequestering of calcium ion","72/8095","134/18860",0.537313432835821,1.25185069095535,2.53707774691399,0.0074071266533367,0.0460833575773945,0.0341121472890749,"TMEM38A/LCK/PRKD1/ERO1A/PLCG2/CORO1A/ATG5/CD19/PTPRC/RYR2/HRC/CAMK2D/LYN/ATP1A2/PTPN6/HTR2B/XCR1/CXCL9/ITPR3/NPSR1/BAX/F2R/ASPH/CAPN3/TGFB1/LIME1/MCOLN1/APLNR/CEMIP/CALM2/CCR7/PLCE1/ANXA6/SELENON/CACNA1C/DRD1/CCR5/SRI/ABL1/PLCB1/P2RY6/PLCL2/ITPR1/MIR93/PKD2/SLC8A1/FKBP1A/DMD/TRPC1/CXCL10/CALM1/ITGB3/HTR2A/PRKACA/FKBP1C/ITPR2/F2RL3/DIAPH1/TRDN/PLCB2/P2RX7/TPCN2/KCNK16/THY1/PTK2B/FLNA/CYBA/CXCR3/PDE4D/GSTM2/CLIC2/RYR3",72
"GO:0006972","hyperosmotic response","20/8095","30/18860",0.666666666666667,1.55322215359275,2.62963680761073,0.00743203096270263,0.0460833575773945,0.0341121472890749,"EPO/EFHD1/FXYD2/ICOSLG/RAC1/RCSD1/SST/AKR1B1/NFAT5/OXSR1/ERRFI1/MICU1/ARHGEF2/SLC2A1/TRPV4/WNK1/SLC25A23/SLC12A2/AQP1/NINJ1",20
"GO:0010758","regulation of macrophage chemotaxis","20/8095","30/18860",0.666666666666667,1.55322215359275,2.62963680761073,0.00743203096270263,0.0460833575773945,0.0341121472890749,"CMKLR1/CSF1R/TNFSF18/MDK/RARRES2/CCL5/C5AR1/DDT/SLAMF8/C3AR1/MTUS1/C5/MIF/TRPV4/MMP28/PTPRJ/PTK2B/SLAMF1/CSF1/STAP1",20
"GO:0042832","defense response to protozoan","20/8095","30/18860",0.666666666666667,1.55322215359275,2.62963680761073,0.00743203096270263,0.0460833575773945,0.0341121472890749,"NKG7/IL4R/IRF4/CCDC88B/DEFA1/DEFA1B/MYD88/CD40/GBP1/BPGM/GBP2/CLEC7A/GBP4/PF4/CD37/GBP6/SLC11A1/IRF8/ARG1/DEFB130A",20
"GO:0046639","negative regulation of alpha-beta T cell differentiation","20/8095","30/18860",0.666666666666667,1.55322215359275,2.62963680761073,0.00743203096270263,0.0460833575773945,0.0341121472890749,"CBFB/TNFSF18/ZBTB7B/HLX/TNFSF4/IL4R/FOXP3/LGALS1/STAT5A/JAK3/RC3H2/LOXL3/SOCS1/RUNX3/SMAD7/ANXA1/RUNX1/ZC3H12A/GLI3/IHH",20
